age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income,education_encoded
36,Private,149419,Some-college,10.06420796100731,Divorced,Adm-clerical,Not-in-family,White,Male,55,United-States,<=50K,16
47,Private,109089,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,United-States,<=50K,16
47,Private,199832,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
21,Private,44793,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Male,65,United-States,<=50K,16
42,Private,310632,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,>50K,16
51,Private,105788,5th-6th,3.0,Separated,Other-service,Unmarried,Black,Female,40,Scotland,<=50K,5
56,Local-gov,174564,12th,8.0,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,3
22,Self-emp-not-inc,214014,Some-college,10.0,Never-married,Sales,Own-child,Black,Male,55,United-States,>50K,16
51,Federal-gov,40808,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,43,United-States,<=50K,10
19,Private,195282,HS-grad,9.0,Never-married,Craft-repair,Own-child,Black,Female,20,United-States,<=50K,12
28,Private,271466,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,12
34,Private,105493,Masters,14.0,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,13
33,Private,170769,Doctorate,16.0,Divorced,Sales,Not-in-family,White,Male,60,United-States,>50K,11
56,Private,91262,HS-grad,10.06420796100731,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,45,United-States,<=50K,12
55,Self-emp-not-inc,278228,10th,6.0,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,<=50K,1
32,State-gov,316589,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,13
41,Private,243607,5th-6th,3.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,Mexico,<=50K,5
34,Private,186824,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,10
39,Private,272338,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,25,United-States,<=50K,12
19,Private,231688,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,20,United-States,<=50K,16
35,Private,33975,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,>50K,13
35,Private,139770,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Wife,White,Female,20,United-States,>50K,9
62,Private,123992,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
42,Private,183765,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,16
34,Local-gov,183801,Bachelors,13.0,Never-married,Other-service,Not-in-family,White,Male,14,United-States,<=50K,10
37,Private,242713,12th,10.06420796100731,Separated,Priv-house-serv,Unmarried,Black,Female,40,United-States,<=50K,3
26,Private,91683,Some-college,10.06420796100731,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,16
23,Local-gov,238384,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,12
44,Self-emp-not-inc,335183,12th,8.0,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,>50K,3
72,Private,113044,HS-grad,9.0,Widowed,Craft-repair,Not-in-family,White,Male,30,United-States,<=50K,12
38,Private,260997,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,<=50K,16
22,Private,185357,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,50,United-States,<=50K,16
22,Private,191561,Some-college,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,30,United-States,<=50K,16
47,Private,206659,Some-college,10.0,Divorced,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K,16
38,Private,110607,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Male,32,United-States,<=50K,12
23,Private,239375,Bachelors,10.06420796100731,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,10
25,Private,217006,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,2
45,Private,54260,HS-grad,9.0,Never-married,Farming-fishing,Not-in-family,White,Male,60,United-States,<=50K,12
25,Federal-gov,27142,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,16
48,Private,200471,Bachelors,10.06420796100731,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,>50K,10
38,Local-gov,339442,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,<=50K,16
43,State-gov,218542,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,12
59,Private,180645,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,12
25,Private,109009,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,2
53,Self-emp-not-inc,174102,Prof-school,15.0,Divorced,Prof-specialty,Unmarried,White,Male,60,United-States,<=50K,15
47,Private,121124,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,7
34,Local-gov,188682,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,10
23,Private,240398,Bachelors,13.0,Never-married,Sales,Not-in-family,Black,Male,15,United-States,<=50K,10
42,Federal-gov,177142,Bachelors,13.0,Never-married,Tech-support,Unmarried,White,Male,40,United-States,<=50K,10
24,Private,179423,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,12
27,Self-emp-not-inc,87745,Assoc-voc,11.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,9
49,Private,262116,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,United-States,<=50K,15
20,Private,258730,HS-grad,9.0,Never-married,Priv-house-serv,Own-child,White,Female,40,United-States,<=50K,12
29,Private,154411,Assoc-voc,11.0,Never-married,Tech-support,Own-child,White,Male,40,United-States,<=50K,9
52,Private,82285,Bachelors,13.0,Married-spouse-absent,Other-service,Other-relative,Black,Female,40,Haiti,<=50K,10
37,State-gov,318891,Some-college,10.06420796100731,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,16
42,Private,204235,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,12
51,State-gov,285747,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,13
26,Private,140446,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,40,United-States,<=50K,12
42,Private,272910,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,12
53,Private,151864,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
22,State-gov,149342,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,35,United-States,<=50K,16
41,Private,283174,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,10
33,Private,162572,Bachelors,10.06420796100731,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,10
32,Private,137875,Some-college,10.0,Divorced,Sales,Unmarried,White,Female,30,United-States,<=50K,16
43,Private,58447,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,11
40,Private,71738,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,United-States,>50K,13
28,Self-emp-not-inc,294398,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K,16
47,Private,135803,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,25,Philippines,<=50K,12
29,Private,125791,Assoc-acdm,12.0,Never-married,Exec-managerial,Other-relative,White,Female,38,United-States,<=50K,8
48,Self-emp-not-inc,138069,5th-6th,3.0,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,5
55,Private,197114,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,6,United-States,>50K,16
18,Private,298860,12th,8.0,Never-married,Handlers-cleaners,Own-child,White,Male,20,United-States,<=50K,3
54,Private,141663,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,15,United-States,<=50K,12
19,Private,155863,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Female,30,United-States,<=50K,16
37,Local-gov,80680,Bachelors,10.06420796100731,Divorced,Prof-specialty,Unmarried,White,Female,35,United-States,<=50K,10
54,Private,204397,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,16
65,Self-emp-inc,323636,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,10
30,Private,285855,9th,10.06420796100731,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,7
20,State-gov,178628,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,16
34,Self-emp-not-inc,204052,HS-grad,10.06420796100731,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
31,Private,303032,Some-college,10.0,Never-married,Other-service,Unmarried,Black,Female,40,United-States,<=50K,16
37,Local-gov,175120,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K,13
46,Private,164749,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,16
26,Private,142152,11th,7.0,Never-married,Transport-moving,Not-in-family,White,Female,35,United-States,<=50K,2
20,Private,177287,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,30,United-States,<=50K,12
33,Self-emp-not-inc,58702,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,>50K,9
21,Private,240063,HS-grad,10.06420796100731,Never-married,Transport-moving,Own-child,White,Male,48,United-States,<=50K,12
44,Self-emp-not-inc,136986,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,15
57,Private,47857,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,12
41,Private,120277,Bachelors,10.06420796100731,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K,10
67,Self-emp-not-inc,268781,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,United-States,>50K,10
43,Private,33126,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,<=50K,16
39,Self-emp-not-inc,222204,Some-college,10.0,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,16
41,Private,112763,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,<=50K,16
27,Private,205440,10th,10.06420796100731,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,1
36,Private,200904,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,Wife,Black,Female,21,Haiti,<=50K,8
29,Private,103628,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,16
51,State-gov,177487,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,<=50K,12
45,Local-gov,135776,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K,13
33,Private,76107,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K,12
47,Self-emp-not-inc,118506,Bachelors,10.06420796100731,Married-civ-spouse,Exec-managerial,Own-child,White,Male,60,United-States,<=50K,10
34,Federal-gov,284703,Some-college,10.06420796100731,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,52,United-States,<=50K,16
30,Self-emp-not-inc,106742,12th,8.0,Married-civ-spouse,Transport-moving,Husband,White,Male,75,United-States,<=50K,3
22,Private,120518,HS-grad,9.0,Widowed,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,12
22,Private,320451,Some-college,10.0,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,24,United-States,<=50K,16
37,Local-gov,128054,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,16
61,Federal-gov,60641,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,<=50K,16
33,Private,213226,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K,12
67,State-gov,160158,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,8,United-States,<=50K,16
43,Private,212027,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,Black,Male,38,United-States,<=50K,10
27,Self-emp-not-inc,114225,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,60,United-States,<=50K,16
17,Private,108909,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,20,United-States,<=50K,12
59,Private,249814,HS-grad,9.0,Separated,Other-service,Not-in-family,White,Female,37,United-States,<=50K,12
41,Private,213019,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Wife,White,Female,38,United-States,>50K,9
35,Self-emp-not-inc,127930,HS-grad,10.06420796100731,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,60,United-States,<=50K,12
34,Private,422836,HS-grad,9.0,Divorced,Prof-specialty,Unmarried,White,Male,40,Mexico,<=50K,12
30,Private,44419,Some-college,10.0,Never-married,Tech-support,Unmarried,White,Female,40,United-States,<=50K,16
45,Private,51664,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,16
59,State-gov,132717,10th,6.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K,1
60,Private,367695,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,8
24,Private,408585,7th-8th,10.06420796100731,Married-civ-spouse,Farming-fishing,Own-child,White,Female,45,Mexico,<=50K,6
20,Private,286166,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,48,United-States,<=50K,12
52,Private,146015,HS-grad,10.06420796100731,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
35,Private,297574,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99,United-States,>50K,8
58,Private,322691,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K,10
68,Private,104438,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Ireland,>50K,10
40,Private,183404,Some-college,10.0,Separated,Other-service,Unmarried,White,Female,8,United-States,<=50K,16
46,Self-emp-not-inc,43348,Prof-school,15.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,15
51,State-gov,187686,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K,12
36,Private,208358,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,16
42,Private,116632,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,16
66,Self-emp-not-inc,212456,HS-grad,9.0,Widowed,Craft-repair,Not-in-family,White,Male,20,United-States,<=50K,12
49,Private,274720,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,United-States,<=50K,12
36,Private,73023,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K,12
55,Private,141326,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,12
36,Private,143912,HS-grad,10.06420796100731,Divorced,Transport-moving,Not-in-family,White,Male,45,United-States,<=50K,12
45,Private,176947,7th-8th,4.0,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K,6
45,Self-emp-not-inc,285570,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,<=50K,12
67,Local-gov,233681,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,<=50K,8
29,Private,136277,10th,6.0,Never-married,Other-service,Own-child,Black,Female,32,United-States,<=50K,1
24,Private,174714,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,45,United-States,<=50K,16
47,Private,162302,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,20,United-States,<=50K,12
60,Private,230545,7th-8th,4.0,Divorced,Adm-clerical,Not-in-family,White,Female,35,Cuba,<=50K,6
45,Private,155478,Some-college,10.0,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,16
28,Private,201175,11th,7.0,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,United-States,<=50K,2
31,Private,86143,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,Philippines,<=50K,12
28,Private,351731,HS-grad,9.0,Divorced,Craft-repair,Unmarried,White,Male,50,United-States,<=50K,12
32,Self-emp-not-inc,198613,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Male,45,United-States,>50K,10
45,Private,102147,Assoc-voc,11.0,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,9
28,Private,337378,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,12
36,Local-gov,101833,Bachelors,13.0,Separated,Prof-specialty,Not-in-family,White,Male,40,United-States,<=50K,10
20,Private,169699,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,12
44,Private,33155,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,<=50K,11
42,Private,137136,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Black,Male,55,United-States,<=50K,12
22,Private,130356,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,48,United-States,<=50K,16
58,Private,106707,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,48,United-States,<=50K,5
24,Private,225739,Some-college,10.0,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K,16
40,Private,55567,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K,10
47,Federal-gov,197038,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,<=50K,10
38,Private,120074,Bachelors,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,<=50K,10
26,Private,266505,HS-grad,10.06420796100731,Married-civ-spouse,Sales,Husband,White,Male,38,United-States,<=50K,12
24,Private,211391,10th,6.0,Never-married,Sales,Not-in-family,White,Female,15,United-States,<=50K,1
28,Private,192932,Bachelors,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,10
43,Private,265434,11th,7.0,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,<=50K,2
46,Private,215943,HS-grad,9.0,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K,12
23,Local-gov,250165,Bachelors,13.0,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,<=50K,10
43,Private,242804,HS-grad,9.0,Separated,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,12
35,Private,166193,HS-grad,9.0,Divorced,Machine-op-inspct,Own-child,White,Male,40,United-States,<=50K,12
22,Private,355686,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,16
62,Private,141218,Masters,14.0,Married-civ-spouse,Craft-repair,Husband,White,Male,30,United-States,>50K,13
24,Private,83774,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,45,United-States,<=50K,12
54,Private,133403,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,16
50,Private,141340,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,10
65,Self-emp-not-inc,158177,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,44,United-States,>50K,13
30,Private,171483,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,38,United-States,<=50K,12
48,Self-emp-not-inc,56841,Some-college,10.0,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,16
33,Private,159303,HS-grad,10.06420796100731,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K,12
35,Private,46385,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,90,United-States,>50K,12
39,Private,156667,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,18,United-States,<=50K,12
40,Private,284086,9th,5.0,Divorced,Transport-moving,Not-in-family,White,Male,30,United-States,<=50K,7
18,Private,256191,HS-grad,9.0,Never-married,Craft-repair,Own-child,Black,Female,25,United-States,<=50K,12
40,Private,48087,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,12
57,State-gov,32694,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,11
40,Local-gov,290660,Assoc-acdm,10.06420796100731,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,>50K,8
33,Private,343519,Some-college,10.0,Never-married,Other-service,Not-in-family,White,Female,25,United-States,<=50K,16
50,Private,144084,HS-grad,9.0,Separated,Sales,Unmarried,White,Female,55,United-States,<=50K,12
48,Self-emp-inc,138370,Masters,14.0,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Male,50,India,<=50K,13
36,Local-gov,61299,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,16
33,Private,79303,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,<=50K,12
43,Private,254146,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,16
53,Private,233165,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,12
50,Self-emp-not-inc,100109,11th,7.0,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K,2
59,Self-emp-inc,145574,Assoc-voc,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,9
42,Private,211517,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,2
26,Private,173992,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K,16
34,Federal-gov,148508,Some-college,10.0,Divorced,Tech-support,Not-in-family,White,Female,40,United-States,<=50K,16
30,Self-emp-inc,68330,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,16
48,Private,117054,5th-6th,3.0,Divorced,Craft-repair,Not-in-family,White,Male,99,United-States,<=50K,5
30,Self-emp-not-inc,180859,Some-college,10.0,Never-married,Craft-repair,Own-child,White,Male,8,United-States,<=50K,16
40,Private,244172,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K,12
17,Private,182158,10th,6.0,Never-married,Priv-house-serv,Own-child,White,Male,30,United-States,<=50K,1
25,Private,124111,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,38,United-States,<=50K,12
35,Private,224512,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,<=50K,13
32,Self-emp-not-inc,178109,10th,6.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,<=50K,1
46,Private,197731,Assoc-voc,11.0,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,9
39,Private,456922,Bachelors,13.0,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,<=50K,10
35,Private,183898,HS-grad,9.0,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,<=50K,12
20,Private,227491,HS-grad,9.0,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,25,United-States,<=50K,12
20,Private,314422,HS-grad,9.0,Never-married,Sales,Own-child,White,Female,30,United-States,<=50K,12
34,Private,150154,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,>50K,12
18,Private,282394,Some-college,10.06420796100731,Never-married,Sales,Own-child,Black,Female,21,United-States,<=50K,16
41,Private,203217,7th-8th,4.0,Separated,Craft-repair,Not-in-family,White,Male,40,Mexico,<=50K,6
28,Private,388112,1st-4th,2.0,Never-married,Farming-fishing,Unmarried,White,Male,77,Mexico,<=50K,4
51,Private,237729,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,16
57,Private,300104,5th-6th,3.0,Married-civ-spouse,Craft-repair,Husband,White,Male,84,United-States,>50K,5
54,Self-emp-inc,263925,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K,12
