age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
44,1,136986,9,15.0,0,1,0,0,0,50,0,0
57,0,47857,0,9.0,0,7,0,0,0,40,0,0
41,0,120277,2,10.0,0,1,0,0,0,40,0,0
67,1,268781,2,13.0,0,1,0,0,0,20,0,1
43,0,33126,1,10.0,0,2,0,0,0,50,0,0
39,1,222204,1,10.0,2,5,1,0,1,40,0,0
41,0,112763,1,10.0,0,3,4,0,1,35,0,0
27,0,205440,7,10.0,0,6,0,0,0,40,0,0
36,0,200904,6,12.0,0,0,4,1,1,21,1,0
29,0,103628,1,10.0,0,3,4,0,1,40,0,1
51,3,177487,0,9.0,0,0,0,0,0,45,0,0
45,2,135776,3,14.0,2,1,1,0,1,30,0,0
33,0,76107,0,9.0,0,2,0,0,0,60,0,0
47,1,118506,2,10.0,0,2,2,0,0,60,0,0
34,5,284703,1,10.0,0,6,0,1,0,52,0,0
30,1,106742,11,8.0,0,7,0,0,0,75,0,0
22,0,120518,0,9.0,4,3,2,0,1,40,0,0
22,0,320451,1,10.0,1,0,2,2,0,24,0,0
37,2,128054,1,10.0,2,3,3,0,1,40,0,0
61,5,60641,1,10.0,0,3,4,0,1,30,0,0
33,0,213226,0,9.0,2,4,1,0,0,50,0,0
67,3,160158,1,10.0,0,9,0,0,0,8,0,0
43,0,212027,2,13.0,2,1,1,1,0,38,0,0
27,1,114225,1,10.0,1,2,1,0,0,60,0,0
17,0,108909,0,9.0,1,4,2,0,1,20,0,0
59,0,249814,0,9.0,3,5,1,0,1,37,0,0
41,0,213019,4,11.0,0,10,4,0,1,38,0,1
35,1,127930,0,10.0,5,9,1,0,0,60,0,0
34,0,422836,0,9.0,2,1,3,0,0,40,1,0
30,0,44419,1,10.0,1,10,3,0,1,40,0,0
45,0,51664,1,10.0,0,4,0,0,0,40,0,0
59,3,132717,7,6.0,0,9,0,0,0,40,0,0
60,0,367695,6,12.0,0,3,0,0,0,40,0,1
24,0,408585,8,10.0,0,9,2,0,1,45,1,0
20,0,286166,0,9.0,1,4,1,0,0,48,0,0
52,0,146015,0,10.0,0,0,0,0,0,40,0,0
35,0,297574,6,12.0,0,2,0,0,0,99,0,1
58,0,322691,2,13.0,0,6,0,0,0,40,0,1
68,0,104438,2,13.0,0,1,0,0,0,40,1,1
40,0,183404,1,10.0,3,5,3,0,1,8,0,0
46,1,43348,9,15.0,0,2,0,0,0,55,0,1
51,3,187686,0,9.0,2,3,1,0,1,38,0,0
36,0,208358,1,10.0,0,7,0,0,0,40,0,1
42,0,116632,1,10.0,0,0,0,0,0,60,0,0
66,1,212456,0,9.0,4,0,1,0,0,20,0,0
49,0,274720,0,9.0,0,0,0,1,0,40,0,0
36,0,73023,0,9.0,2,6,1,0,0,40,0,0
55,0,141326,0,9.0,0,0,0,0,0,40,0,1
36,0,143912,0,10.0,2,7,1,0,0,45,0,0
45,0,176947,8,4.0,1,3,2,0,1,20,0,0
45,1,285570,0,9.0,0,7,0,0,0,80,0,0
67,2,233681,6,12.0,0,2,0,0,0,35,0,0
29,0,136277,7,6.0,1,5,2,1,1,32,0,0
24,0,174714,1,10.0,1,8,2,0,0,45,0,0
47,0,162302,0,9.0,2,3,3,0,1,20,0,0
60,0,230545,8,4.0,2,3,1,0,1,35,1,0
45,0,155478,1,10.0,2,10,3,0,1,40,0,0
28,0,201175,5,7.0,1,6,1,1,0,40,0,0
31,0,86143,0,9.0,0,0,0,2,0,40,1,0
28,0,351731,0,9.0,2,0,3,0,0,50,0,0
32,1,198613,2,13.0,1,4,1,0,0,45,0,1
45,0,102147,4,11.0,2,2,1,0,0,40,0,1
28,0,337378,0,9.0,0,0,0,0,0,40,0,0
36,2,101833,2,13.0,3,1,1,0,0,40,0,0
20,0,169699,0,9.0,1,3,1,0,1,40,0,0
44,0,33155,12,16.0,1,1,1,0,0,45,0,0
42,0,137136,0,9.0,1,2,1,1,0,55,0,0
22,0,130356,1,10.0,1,6,2,0,0,48,0,0
58,0,106707,13,3.0,0,6,0,1,0,48,0,0
24,0,225739,1,10.0,1,4,1,0,0,40,0,0
40,0,55567,2,13.0,0,1,4,0,1,40,0,1
47,5,197038,2,13.0,0,1,0,0,0,50,0,0
38,0,120074,2,13.0,0,6,0,0,0,50,0,0
26,0,266505,0,10.0,0,4,0,0,0,38,0,0
24,0,211391,7,6.0,1,4,1,0,1,15,0,0
28,0,192932,2,13.0,1,1,1,0,1,40,0,0
43,0,265434,5,7.0,1,5,1,1,0,40,0,0
46,0,215943,0,9.0,2,1,3,0,1,40,0,0
23,2,250165,2,13.0,1,1,2,0,1,40,0,0
43,0,242804,0,9.0,3,8,1,0,0,40,0,0
35,0,166193,0,9.0,2,6,2,0,0,40,0,0
22,0,355686,1,10.0,1,3,1,0,1,40,0,0
62,0,141218,3,14.0,0,0,0,0,0,30,0,1
24,0,83774,0,9.0,0,5,0,0,0,45,0,0
54,0,133403,1,10.0,0,6,0,0,0,40,0,0
50,0,141340,2,13.0,0,4,0,0,0,50,0,0
65,1,158177,3,14.0,0,4,0,0,0,44,0,1
30,0,171483,0,9.0,1,0,2,0,0,38,0,0
48,1,56841,1,10.0,2,7,1,0,0,40,0,0
33,0,159303,0,10.0,2,5,3,0,1,40,0,0
35,0,46385,0,9.0,0,7,0,0,0,90,0,1
39,0,156667,0,9.0,1,5,1,0,0,18,0,0
40,0,284086,10,5.0,2,7,1,0,0,30,0,0
18,0,256191,0,9.0,1,0,2,1,1,25,0,0
40,0,48087,0,9.0,0,4,0,0,0,45,0,1
57,3,32694,12,16.0,0,1,0,0,0,40,0,1
40,2,290660,6,10.0,2,2,1,0,0,50,0,1
33,0,343519,1,10.0,1,5,1,0,1,25,0,0
50,0,144084,0,9.0,3,4,3,0,1,55,0,0
48,4,138370,3,14.0,5,4,1,2,0,50,1,0
36,2,61299,1,10.0,0,0,0,0,0,40,0,0
33,0,79303,0,9.0,0,9,0,0,0,45,0,0
43,0,254146,1,10.0,0,0,0,0,0,40,0,1
53,0,233165,0,9.0,0,2,0,0,0,60,0,1
50,1,100109,5,7.0,2,0,3,0,0,40,0,0
59,4,145574,4,11.0,0,2,0,0,0,40,0,1
42,0,211517,5,7.0,0,6,0,0,0,40,0,0
26,0,173992,1,10.0,0,0,0,0,0,45,0,1
34,5,148508,1,10.0,2,10,1,0,1,40,0,0
30,4,68330,1,10.0,0,4,0,0,0,50,0,0
48,0,117054,13,3.0,2,0,1,0,0,99,0,0
30,1,180859,1,10.0,1,0,2,0,0,8,0,0
40,0,244172,0,9.0,0,8,0,0,0,40,0,0
17,0,182158,7,6.0,1,12,2,0,0,30,0,0
25,0,124111,0,9.0,1,5,1,0,1,38,0,0
35,0,224512,3,14.0,0,4,0,0,0,55,0,0
32,1,178109,7,6.0,0,2,0,0,0,55,0,0
46,0,197731,4,11.0,5,6,3,0,0,40,0,0
39,0,456922,2,13.0,2,10,1,0,0,40,0,0
35,0,183898,0,9.0,2,0,3,0,0,40,0,0
20,0,227491,0,9.0,1,4,1,2,1,25,0,0
20,0,314422,0,9.0,1,4,2,0,1,30,0,0
34,0,150154,0,9.0,0,0,0,0,0,50,0,1
18,0,282394,1,10.0,1,4,2,1,1,21,0,0
41,0,203217,8,4.0,3,0,1,0,0,40,1,0
28,0,388112,14,2.0,1,9,3,0,0,77,1,0
51,0,237729,1,10.0,2,3,3,0,1,40,0,0
57,0,300104,13,3.0,0,0,0,0,0,84,0,1
54,4,263925,0,9.0,2,4,1,0,0,50,0,0
21,0,250051,1,10.0,1,1,2,0,1,10,0,0
21,0,206681,1,10.0,1,4,2,0,1,15,0,0
23,0,169104,6,12.0,1,0,2,2,0,16,1,0
71,0,217971,10,5.0,4,4,3,0,1,13,0,0
47,0,105273,2,13.0,4,0,3,1,1,40,0,0
20,0,171156,1,10.0,1,5,2,0,1,25,0,0
63,1,391121,8,4.0,0,9,0,0,0,30,0,0
30,0,284826,0,9.0,0,1,0,0,0,50,0,0
31,0,197672,2,13.0,0,1,0,0,0,40,0,0
28,0,197484,0,9.0,1,8,2,0,0,40,0,0
40,5,298635,3,14.0,0,10,0,2,0,40,1,0
24,0,59792,3,14.0,1,10,1,2,0,40,0,0
22,0,171538,0,9.0,2,5,2,0,1,35,0,0
18,0,396270,0,9.0,1,3,2,0,0,25,0,0
26,0,122920,0,9.0,1,0,2,0,0,56,0,0
38,0,202937,6,12.0,0,3,4,0,1,40,0,1
56,3,83696,2,13.0,3,1,1,0,1,38,0,0
23,0,237720,2,13.0,1,1,1,0,0,38,0,0
27,0,161155,7,6.0,1,5,1,0,0,40,0,0
90,0,51744,3,14.0,1,2,1,1,0,50,0,1
60,0,63296,3,14.0,2,1,5,1,0,40,0,0
29,0,394927,7,6.0,0,7,0,0,0,45,0,1
30,0,215441,1,10.0,1,3,1,4,0,40,0,0
25,0,269015,0,9.0,1,5,5,1,1,40,0,0
42,0,142424,4,11.0,1,3,1,0,1,40,0,0
19,0,285263,0,10.0,1,3,2,0,0,40,0,0
49,5,195437,6,12.0,0,3,0,0,0,60,0,1
34,0,386877,0,9.0,0,6,0,1,0,40,0,0
41,0,115562,0,9.0,2,11,2,0,0,40,0,0
40,0,220460,0,9.0,1,0,1,0,0,40,1,0
48,0,320421,0,9.0,0,4,0,0,0,50,0,0
42,0,182302,0,9.0,0,2,0,0,0,40,0,0
53,0,72257,1,10.0,0,2,0,0,0,55,0,0
42,5,460214,1,10.0,0,3,0,0,0,40,0,1
56,4,35723,8,4.0,0,0,0,0,0,50,0,1
90,0,87285,0,9.0,1,5,2,0,1,24,0,0
29,1,128516,6,12.0,4,4,3,0,1,40,0,1
27,0,166210,0,9.0,2,0,1,0,0,50,0,0
53,0,55861,0,9.0,0,0,0,0,0,40,0,1
23,2,219122,1,10.0,1,11,2,0,0,40,0,0
48,0,216734,1,10.0,2,2,1,0,1,40,0,0
44,0,224658,0,9.0,0,0,0,0,0,45,0,1
35,0,174571,0,9.0,0,8,0,1,0,40,0,0
31,0,53042,1,10.0,0,6,0,1,0,40,1,0
32,0,100904,1,10.0,3,5,3,4,1,70,0,0
59,3,192258,12,16.0,0,1,0,0,0,40,0,1
53,0,164198,0,9.0,0,7,0,1,0,40,0,1
31,0,213750,1,10.0,1,4,1,0,0,45,0,0
36,2,122353,1,10.0,0,11,0,0,0,68,0,0
50,2,117496,2,10.0,0,1,4,0,1,24,0,0
47,0,213304,13,3.0,3,5,3,0,1,40,1,0
47,3,80282,12,16.0,0,1,0,0,0,45,0,0
36,0,355468,7,6.0,3,4,1,0,0,40,0,0
42,1,24763,12,16.0,0,1,0,0,0,40,0,1
54,3,55861,6,12.0,2,3,1,0,0,39,0,0
39,0,165799,0,9.0,0,2,0,0,0,40,0,0
43,5,190020,9,15.0,0,2,0,0,0,60,0,0
23,0,196508,1,10.0,1,3,2,1,1,24,0,0
47,2,204698,3,14.0,0,1,0,0,0,40,0,0
24,0,183772,0,9.0,1,0,3,0,1,40,0,0
17,0,27415,5,7.0,1,8,2,3,0,20,0,0
55,0,92215,0,9.0,1,3,1,0,1,45,0,0
19,0,278304,1,10.0,1,5,2,0,1,15,0,0
39,0,132879,12,16.0,0,2,0,0,0,42,0,0
45,0,148549,1,10.0,2,0,1,0,0,56,0,1
47,5,124974,1,10.0,2,3,1,0,1,25,0,0
31,0,49469,9,15.0,1,1,1,0,0,50,0,0
36,0,116138,0,9.0,0,1,0,2,0,40,1,0
33,0,87605,0,10.0,1,5,3,1,1,40,0,0
28,0,197905,0,9.0,0,0,0,0,0,50,0,0
20,0,38455,7,6.0,1,5,1,0,0,40,0,0
25,0,121712,2,13.0,2,0,1,0,0,40,0,0
21,0,228649,1,10.0,1,0,2,0,0,20,0,0
26,0,383306,11,8.0,0,0,0,0,0,40,0,0
29,0,125976,0,9.0,3,4,3,0,1,35,0,0
19,0,197861,11,8.0,1,0,2,0,0,15,0,0
36,3,291676,10,5.0,0,0,0,1,0,40,0,0
19,0,231962,0,9.0,1,5,3,0,0,40,0,0
19,2,268722,1,10.0,1,4,5,0,1,20,0,0
39,0,154897,0,9.0,1,2,2,0,1,50,0,0
31,0,305619,1,10.0,0,3,0,0,0,40,0,1
25,0,290528,0,9.0,0,6,0,0,0,40,0,0
31,0,227886,1,10.0,1,3,3,1,1,35,0,0
62,0,44013,0,9.0,0,0,0,0,0,40,0,0
31,0,259531,4,11.0,1,3,1,0,1,40,0,0
47,0,431515,4,11.0,0,0,0,0,0,40,0,1
40,5,178866,0,9.0,0,3,4,0,1,20,0,1
39,1,174330,1,10.0,0,0,0,0,0,40,0,0
40,0,309990,0,9.0,3,3,1,0,1,60,0,1
34,5,207284,11,8.0,0,0,0,0,0,40,0,0
46,0,192768,0,9.0,0,3,4,0,1,40,0,0
60,5,27466,1,10.0,4,2,1,0,1,40,1,0
38,0,104094,1,10.0,0,0,0,0,0,15,0,0
23,0,201680,11,8.0,0,0,0,0,0,40,0,0
38,3,142022,0,9.0,0,3,4,1,1,40,0,0
17,0,25982,11,8.0,1,5,2,0,1,30,0,0
44,0,112494,1,10.0,0,0,0,0,0,40,0,0
46,0,200569,0,9.0,0,4,4,0,1,40,0,0
47,0,247379,0,9.0,1,8,1,0,0,45,0,0
30,5,340899,2,13.0,1,1,1,0,0,40,0,0
35,0,332588,0,9.0,2,5,3,0,1,30,0,0
34,2,230420,2,13.0,0,1,0,0,0,40,0,1
45,3,142167,3,14.0,2,3,1,1,1,40,0,0
37,0,66686,0,9.0,0,7,0,0,0,40,0,1
24,0,324469,1,10.0,1,0,1,0,1,38,0,0
61,4,84409,0,9.0,0,2,0,0,0,35,0,1
26,0,104834,3,14.0,1,1,1,0,1,40,0,0
47,4,362835,2,10.0,0,2,0,0,0,50,0,1
34,3,318982,3,14.0,0,6,0,0,0,40,0,1
35,0,138441,0,9.0,0,8,0,0,0,35,0,0
30,0,110239,7,6.0,0,7,0,0,0,55,0,0
47,1,159726,0,9.0,0,0,0,0,0,40,0,1
17,0,138507,7,6.0,1,8,2,0,0,12,0,0
31,2,47276,2,13.0,0,5,0,0,0,38,0,1
27,0,160178,1,10.0,2,3,1,0,1,38,0,0
45,0,169180,1,10.0,4,5,3,0,1,45,0,0
26,0,252565,7,6.0,0,0,0,0,0,55,0,0
51,0,201062,0,9.0,0,5,5,1,1,40,1,0
25,0,108658,0,9.0,1,2,1,0,0,45,0,0
43,4,83348,0,9.0,0,0,0,0,0,60,0,0
31,2,128016,2,13.0,1,4,2,0,1,40,0,0
46,0,73541,7,6.0,2,0,1,0,0,40,0,0
55,4,183869,9,15.0,0,2,0,0,0,50,0,1
37,0,215419,6,12.0,0,5,4,0,1,25,0,0
21,2,129050,1,10.0,1,1,2,0,1,35,0,0
57,0,104455,1,10.0,5,4,2,2,1,90,0,0
21,0,228960,1,10.0,1,0,2,0,1,20,0,0
17,0,23856,5,7.0,1,2,2,0,1,20,0,0
49,0,137192,2,13.0,0,4,0,2,0,50,1,1
33,3,156015,2,13.0,0,2,0,0,0,40,0,1
28,0,328518,2,13.0,1,3,1,0,0,40,0,0
40,0,116218,1,10.0,3,3,3,0,1,45,0,0
67,3,261203,8,4.0,0,7,0,0,0,35,0,0
38,0,171150,6,12.0,0,1,0,0,0,40,0,1
41,2,129793,0,9.0,1,5,2,0,0,30,0,0
36,0,166549,1,10.0,0,3,0,0,0,40,0,0
24,0,44493,4,11.0,0,0,4,0,1,40,0,0
45,0,28359,0,9.0,3,0,3,0,1,10,0,0
19,0,165505,1,10.0,1,4,2,0,1,20,0,0
26,0,282304,1,10.0,1,4,1,0,0,45,0,0
18,0,395026,5,7.0,1,5,2,0,0,12,0,0
31,2,32593,2,13.0,1,1,1,0,1,40,0,0
44,0,174325,1,10.0,0,0,0,1,0,40,0,0
21,3,184678,1,10.0,1,3,2,0,1,35,0,0
51,0,311350,2,10.0,0,2,0,0,0,40,0,1
59,0,160631,2,13.0,0,0,0,0,0,60,0,0
27,0,267912,7,6.0,1,8,3,0,0,40,1,0
23,3,112137,2,13.0,1,1,1,4,1,40,1,0
62,0,195543,2,13.0,0,4,0,0,0,20,0,1
45,0,162187,2,13.0,0,4,0,0,0,52,0,1
30,0,203488,0,9.0,1,0,2,0,0,50,0,0
52,0,178983,5,7.0,0,5,0,0,0,40,0,0
53,0,77927,13,3.0,1,8,5,2,1,50,1,0
29,0,166210,0,9.0,2,8,2,0,0,50,0,0
62,0,103575,0,9.0,0,0,0,0,0,40,0,1
31,5,103651,0,9.0,0,3,0,0,0,45,0,1
25,5,207342,1,10.0,1,2,1,1,0,40,0,0
43,5,175669,1,10.0,0,3,4,0,1,40,0,0
43,0,173321,0,9.0,2,3,1,0,1,40,0,0
22,0,239806,4,11.0,1,5,5,0,1,40,1,0
36,0,126675,2,13.0,0,1,0,0,0,45,0,1
23,0,182117,6,12.0,1,5,2,0,0,60,0,0
31,0,137978,2,10.0,0,2,0,0,0,40,0,0
42,0,111483,3,14.0,1,1,1,0,0,48,0,1
22,0,191342,2,13.0,1,4,2,2,0,50,1,0
51,0,102615,3,10.0,0,11,0,0,0,40,0,1
34,0,286020,0,9.0,0,6,0,0,0,45,0,0
46,0,213408,1,10.0,2,4,3,0,1,40,1,0
54,0,219737,0,9.0,4,4,1,0,1,37,0,0
55,0,135803,2,13.0,0,2,0,4,0,35,1,0
32,0,128829,0,9.0,1,3,3,0,1,40,0,0
31,3,60186,2,13.0,2,1,1,0,0,40,0,0
50,3,34637,10,5.0,0,1,0,0,0,40,0,0
24,0,39615,2,13.0,1,4,1,0,0,45,0,0
22,0,251196,1,10.0,1,11,2,1,1,20,0,0
42,3,219553,3,14.0,2,1,1,0,1,38,0,0
59,0,179594,0,9.0,0,4,0,0,0,40,0,0
59,0,212783,0,9.0,2,5,1,0,1,38,0,0
24,0,199555,4,11.0,1,4,3,0,0,5,0,0
18,0,126071,0,9.0,1,0,2,0,0,40,0,0
38,2,105161,2,13.0,0,1,0,0,0,30,0,0
41,0,140886,0,9.0,0,9,0,0,0,40,0,0
42,0,262425,1,10.0,0,1,0,0,0,50,0,0
27,0,134890,4,11.0,0,0,0,0,0,40,0,0
28,0,392487,0,9.0,0,4,4,0,1,40,0,0
35,0,225330,2,13.0,1,3,1,0,1,40,0,0
35,0,226311,2,13.0,1,4,1,0,1,40,0,0
30,0,323069,0,9.0,1,3,1,0,1,30,0,0
54,0,339667,0,9.0,1,3,1,0,0,41,0,0
36,1,167691,1,10.0,1,5,3,0,1,50,0,0
40,0,70645,15,1.0,1,5,1,0,1,20,0,0
31,0,62932,0,9.0,1,0,2,0,0,40,0,0
27,0,112754,2,13.0,0,2,0,0,0,60,0,1
24,0,395297,1,10.0,1,4,2,0,1,35,0,0
24,0,179423,2,13.0,1,1,5,0,1,40,0,0
37,0,267085,1,10.0,0,3,0,0,0,40,0,0
42,0,100479,2,13.0,0,4,0,0,0,40,0,1
40,0,239708,5,10.0,0,7,0,0,0,55,0,0
22,0,282202,0,9.0,1,2,3,0,0,40,1,0
51,1,107096,0,9.0,0,9,0,0,0,50,0,0
65,1,175202,0,9.0,0,2,0,0,0,24,0,0
39,0,66687,1,10.0,3,0,3,0,0,45,0,0
35,2,72338,0,9.0,2,9,2,2,0,56,0,0
65,2,143570,1,10.0,1,1,1,1,1,40,0,0
33,1,327902,0,10.0,0,7,0,0,0,45,0,0
33,0,118786,2,13.0,1,4,1,0,0,40,0,0
45,1,204205,7,6.0,0,0,0,0,0,65,0,0
76,0,172637,1,10.0,0,0,0,0,0,20,0,0
62,5,162876,1,10.0,0,3,0,0,0,40,0,0
54,0,124194,0,9.0,4,5,3,0,1,40,0,0
59,0,233312,1,10.0,0,0,0,0,0,40,0,1
29,0,285290,5,7.0,1,5,3,1,1,40,0,0
41,3,52131,0,9.0,2,1,2,0,0,40,0,0
61,0,163729,0,9.0,2,6,1,0,1,40,0,0
25,0,191230,1,10.0,1,2,2,0,1,40,1,0
31,5,40909,1,10.0,0,10,0,1,0,40,0,0
34,1,190290,0,9.0,0,0,0,0,0,40,0,1
29,0,55390,6,12.0,1,10,1,0,0,45,0,0
28,0,331381,2,13.0,1,3,1,0,0,40,0,0
19,0,105460,1,10.0,1,0,2,0,0,20,1,0
22,0,125010,2,13.0,1,3,1,0,1,20,0,0
75,0,95985,13,3.0,4,5,3,1,0,10,0,0
37,0,52870,2,13.0,0,2,0,0,0,40,0,0
19,0,210364,5,7.0,1,5,2,0,0,20,0,0
39,0,229647,2,13.0,1,10,1,0,1,40,0,0
31,0,176430,0,10.0,0,0,0,0,0,40,0,0
38,5,261241,1,10.0,0,3,0,0,0,45,0,1
30,1,70985,0,9.0,0,9,0,0,0,75,0,0
34,0,117963,0,10.0,1,0,2,0,0,45,0,0
18,0,83492,8,4.0,1,6,2,0,0,40,0,0
29,0,157308,5,7.0,0,8,4,2,1,14,1,0
33,0,166961,5,7.0,3,4,2,0,1,20,0,0
47,0,157901,5,7.0,0,5,0,3,0,36,0,0
51,2,97005,8,10.0,0,7,0,0,0,40,0,0
37,0,459192,2,13.0,1,4,1,0,1,44,0,0
37,1,255503,9,15.0,1,1,1,0,0,55,0,1
46,0,148489,0,9.0,5,0,1,2,0,40,1,0
18,0,36348,1,10.0,1,0,2,0,0,48,0,0
